,UTC_Start,UTC_Stop_WAS,UTC_Mean_1s,P,T,TAS,U,V,W,lat,lon,OCS_WAS,DMS_WAS,CFC12_WAS,CFC11_WAS,CFC113_WAS,CFC114_WAS,HFC134a_WAS,HCFC22_WAS,HCFC142b_WAS,HCFC141b_WAS,H1301_WAS,H2402_WAS,H1211_WAS,CH3CCl3_WAS,CCl4_WAS,CHCl3_WAS,CH2Cl2_WAS,C2Cl4_WAS,CH3Cl_WAS,CH3Br_WAS,CH3I_WAS,CH2Br2_WAS,CHBrCl2_WAS,CHBr2Cl_WAS,CHBr3_WAS,CH2ClCH2Cl_WAS,MeONO2_WAS,EthONO2_WAS,iPropONO2_WAS,nPropONO2_WAS,x2ButONO2_WAS,x3PentONO2_WAS,x2PentONO2_WAS,x3Me2ButONO2_WAS,Ethane_WAS,Ethene_WAS,Ethyne_WAS,Propane_WAS,Propene_WAS,iButane_WAS,nButane_WAS,iPentane_WAS,nPentane_WAS,Isoprene_WAS,nHexane_WAS,nHeptane_WAS,x2MePentane_WAS,x3MePentane_WAS,Benzene_WAS,Toluene_WAS,EthBenzene_WAS,mpXylene_WAS,oXylene_WAS,mission
52,1487543760.0,1487543803.0,81382.5,744.090909090909,259.739772727273,145.437272727273,-9.22136363636364,-5.04681818181818,0.482181818181818,49.774614,202.350584,564.0,-8888.0,508.0,227.0,70.8,16.35,97.3,260.0,23.3,27.2,3.281,0.439,3.501,2.58,82.5,19.54,70.9,2.851,563.0,6.45,0.416,0.977,0.37,0.236,1.738,21.06,6.651,2.856,7.496,0.992,7.331,2.087,1.516,1.826,2171.0,119,546.0,871.0,-8888,148,262,79,57,-8888,21,-8888.0,12.0,7.0,189,12,-8888,-8888,-8888,2.0
53,1487543910.0,1487543951.0,81531.5,661.066190476191,262.902619047619,186.151666666667,-9.27738095238095,-20.3961904761905,-0.0610714285714286,49.572704,202.513994,559.0,-8888.0,507.0,227.0,70.9,16.37,92.6,251.0,22.3,26.6,3.217,0.441,3.501,2.6,81.8,17.09,67.16,2.607,559.0,6.83,0.244,1.054,0.365,0.257,1.734,24.14,7.604,3.124,8.896,1.179,7.705,1.438,0.884,1.162,1551.0,39,372.0,538.0,-8888,75,137,34,23,-8888,9,-8888.0,4.0,-8888.0,108,-8888,-8888,-8888,-8888,2.0
54,1487544060.0,1487544114.0,81688.0,551.22,257.670181818182,199.528727272727,-0.273272727272727,-23.2758181818182,0.0115636363636364,49.3115466666667,202.72292,564.0,-8888.0,503.0,227.0,70.9,16.45,92.6,252.0,22.6,26.5,3.183,0.469,3.521,2.55,81.9,17.53,73.84,2.608,573.0,6.78,0.292,1.0,0.362,0.227,1.391,25.69,8.124,3.266,8.162,1.119,6.455,1.353,0.857,1.089,1517.0,45,376.0,515.0,-8888,76,119,32,22,-8888,10,-8888.0,4.0,-8888.0,108,-8888,-8888,-8888,-8888,2.0
55,1487544210.0,1487544249.0,81830.5,459.9125,247.205,198.717,5.23275,-24.53525,0.114875,49.0639675,202.918355,541.0,-8888.0,510.0,230.0,71.3,16.22,93.2,250.0,22.6,26.1,3.307,0.429,3.536,2.56,82.2,16.97,64.36,2.523,547.0,6.93,0.378,1.039,0.375,0.233,1.635,20.35,8.362,3.157,7.166,0.995,5.987,1.421,0.875,1.116,1593.0,24,342.0,492.0,-8888,65,112,28,21,-8888,7,-8888.0,3.0,-8888.0,99,-8888,-8888,-8888,-8888,2.0
56,1487544360.0,1487544400.0,81981.0,402.790731707317,240.153658536585,209.788536585366,8.35512195121951,-26.8590243902439,-0.0868292682926829,48.781418,203.139344,561.0,-8888.0,508.0,229.0,70.8,16.39,93.2,252.0,22.4,25.1,3.229,0.429,3.514,2.53,80.9,17.06,66.92,2.381,564.0,6.84,0.295,0.954,0.34,0.208,1.262,21.89,7.795,3.015,7.26,0.928,5.487,1.053,0.538,0.793,1509.0,12,355.0,401.0,-8888,43,72,15,10,-8888,3,-8888.0,-8888.0,-8888.0,97,-8888,-8888,-8888,-8888,2.0
57,1487544540.0,1487544583.0,82162.5,353.652045454545,233.266363636364,222.303181818182,12.2559090909091,-27.4484090909091,-0.131818181818182,48.426938,203.41229,536.0,-8888.0,505.0,227.0,70.7,16.17,91.8,248.0,22.2,25.9,3.266,0.419,3.506,2.5,80.8,15.75,64.48,2.037,555.0,6.67,0.195,0.932,0.321,0.181,1.158,19.89,7.377,2.779,5.834,0.701,3.128,0.407,0.199,0.266,1248.0,6,253.0,274.0,-8888,29,42,9,5,-8888,-8888,-8888.0,-8888.0,-8888.0,60,-8888,-8888,-8888,-8888,2.0
58,1487544720.0,1487544776.0,82349.0,317.101403508772,226.709473684211,233.071929824561,12.8522807017544,-27.4656140350877,-0.255157894736842,48.0444566666667,203.702103333333,540.0,-8888.0,502.0,,,16.27,92.9,246.0,22.0,25.7,3.277,0.412,3.435,2.5,,14.92,62.09,,560.0,6.85,0.14,0.908,0.328,0.172,1.008,19.2,7.813,2.584,5.236,0.561,2.117,0.254,0.169,0.171,1237.0,7,260.0,268.0,-8888,25,44,8,5,-8888,-8888,-8888.0,-8888.0,-8888.0,59,-8888,-8888,-8888,-8888,2.0
59,1487544900.0,1487544951.0,82526.5,284.685769230769,221.259615384615,231.447884615385,12.4075,-30.3834615384615,0.216480769230769,47.66222,203.987055,546.0,-8888.0,502.0,,,16.46,91.1,246.0,21.8,25.7,3.219,0.407,3.435,2.53,,14.62,59.51,,562.0,6.68,0.091,0.871,0.285,0.169,0.742,17.83,7.119,2.391,4.324,0.386,1.483,0.164,0.279,0.157,1167.0,7,268.0,282.0,-8888,28,44,9,5,-8888,-8888,-8888.0,-8888.0,-8888.0,73,-8888,-8888,-8888,-8888,2.0
60,1487545080.0,1487545138.0,82710.0,259.741355932203,217.026271186441,232.986949152542,18.3896610169492,-27.1174576271186,-0.0818135593220339,47.2779933333333,204.268656666667,538.0,-8888.0,501.0,,,16.36,91.1,244.0,22.1,,3.229,0.417,3.509,2.5,,,66.65,,562.0,6.52,0.047,0.893,0.286,0.15,0.78,15.57,7.163,1.977,3.576,0.231,0.814,0.1,0.096,0.093,1111.0,7,239.0,260.0,-8888,28,41,7,5,-8888,-8888,-8888.0,-8888.0,-8888.0,42,-8888,-8888,-8888,-8888,2.0
61,1487545260.0,1487545324.0,82893.0,238.876769230769,213.447230769231,226.621846153846,17.874,-28.7904615384615,0.346184615384615,46.8857014285714,204.551644285714,539.0,-8888.0,507.0,,,16.21,91.1,245.0,,,3.333,0.409,3.484,2.44,,,,,557.0,6.9,0.013,0.677,,,0.395,12.36,6.436,1.512,2.438,0.13,0.342,0.078,0.069,0.033,1123.0,7,265.0,279.0,-8888,24,41,7,4,-8888,-8888,-8888.0,-8888.0,-8888.0,38,-8888,-8888,-8888,-8888,2.0
62,1487545440.0,1487545511.0,83076.5,238.935138888889,213.696805555556,228.140972222222,16.3040277777778,-29.2508333333333,0.2515,46.49691625,204.827145,544.0,-8888.0,511.0,,,16.39,91.2,248.0,,,3.287,0.408,3.51,2.45,,,,,562.0,6.78,0.013,0.615,,,0.315,11.62,6.891,1.406,1.27,0.228,0.18,,,,1115.0,8,261.0,266.0,-8888,17,39,7,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,28,-8888,-8888,-8888,-8888,2.0
63,1487545620.0,1487545692.0,83257.0,238.927945205479,213.439863013699,231.184931506849,16.5083561643836,-29.4438356164384,0.188561643835616,46.1137175,205.09496375,545.0,-8888.0,508.0,,,16.49,91.4,248.0,,,3.228,0.424,3.484,2.44,,,,,567.0,6.85,0.03,0.696,,,0.471,12.97,6.77,1.604,2.721,0.173,0.36,0.041,,0.064,1143.0,9,270.0,279.0,-8888,26,43,9,5,-8888,-8888,-8888.0,-8888.0,-8888.0,41,-8888,-8888,-8888,-8888,2.0
64,1487545800.0,1487545861.0,83431.5,239.004032258065,213.684677419355,230.745161290323,16.0248387096774,-30.0141935483871,0.0656612903225806,45.7381028571429,205.353128571429,536.0,-8888.0,510.0,,,16.29,91.8,244.0,,,3.37,0.415,3.502,2.43,,,,,558.0,6.83,0.022,0.668,,,0.376,12.03,6.638,1.492,2.312,0.078,0.273,,,0.045,1130.0,7,264.0,271.0,-8888,24,37,5,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,31,-8888,-8888,-8888,-8888,2.0
65,1487545980.0,1487546034.0,83608.0,272.569272727273,219.415272727273,231.018363636364,18.8552727272727,-28.3345454545455,-0.0338909090909091,45.3626433333333,205.607711666667,542.0,-8888.0,506.0,,,16.32,91.4,247.0,22.2,,3.295,0.41,3.513,2.5,,,59.86,,563.0,6.56,0.062,0.845,0.293,0.155,0.745,18.37,8.139,2.584,5.454,0.37,1.14,,,0.108,1160.0,7,254.0,271.0,-8888,25,43,8,7,-8888,-8888,-8888.0,-8888.0,-8888.0,57,-8888,-8888,-8888,-8888,2.0
66,1487546160.0,1487546203.0,83782.5,352.249318181818,233.522045454545,229.523409090909,15.8965909090909,-31.2438636363636,-0.0886136363636364,44.98865,205.85676,548.0,-8888.0,509.0,228.0,71.1,16.47,92.0,249.0,22.1,26.5,3.276,0.421,3.524,2.53,81.3,15.19,64.63,2.156,570.0,6.99,0.192,0.948,0.347,0.197,1.325,22.84,7.838,3.237,7.822,0.984,4.726,0.636,0.283,0.472,1247.0,6,276.0,294.0,-8888,31,48,12,7,-8888,-8888,-8888.0,-8888.0,-8888.0,75,-8888,-8888,-8888,-8888,2.0
67,1487546310.0,1487546339.0,83925.5,430.804666666667,244.474,209.264333333333,15.2133333333333,-30.5403333333333,0.0262333333333333,44.69911,206.04695,542.0,-8888.0,511.0,231.0,71.6,16.2,91.9,246.0,22.5,26.4,3.362,0.438,3.543,2.56,82.4,16.81,67.32,2.517,547.0,6.52,0.35,1.04,0.359,0.211,1.378,23.25,9.087,3.435,8.971,1.157,7.257,1.497,0.764,1.025,1542.0,14,341.0,448.0,-8888,56,86,19,13,-8888,5,-8888.0,-8888.0,-8888.0,94,-8888,-8888,-8888,-8888,2.0
68,1487546460.0,1487546491.0,84076.5,532.5596875,255.7146875,195.6634375,13.8109375,-29.0015625,-0.116375,44.402375,206.23948,545.0,-8888.0,503.0,225.0,70.4,16.26,92.0,246.0,22.2,25.9,3.242,0.432,3.463,2.55,81.0,16.18,65.63,2.429,557.0,6.59,0.309,0.975,0.354,0.217,1.33,23.46,8.095,3.156,8.936,1.187,8.571,2.437,1.484,1.731,1461.0,28,345.0,471.0,-8888,64,108,27,17,-8888,8,-8888.0,3.0,-8888.0,97,-8888,-8888,-8888,-8888,2.0
69,1487546580.0,1487546616.0,84199.0,627.931081081081,262.724594594595,190.571081081081,3.64810810810811,-27.8472972972973,-0.184054054054054,44.1850175,206.378845,585.0,-8888.0,510.0,228.0,71.0,16.52,93.9,258.0,22.9,27.2,3.305,0.443,3.504,2.56,81.5,17.18,73.98,2.578,560.0,6.7,0.32,0.934,0.361,0.215,1.285,25.88,7.241,3.209,8.032,1.162,6.862,1.901,1.364,1.464,1619.0,41,434.0,565.0,-8888,79,137,36,25,-8888,9,-8888.0,5.0,3.0,124,8,-8888,-8888,-8888,2.0
70,1487546730.0,1487546783.0,84357.5,721.205,259.029259259259,173.103148148148,-1.79944444444444,-3.7937037037037,0.0464814814814815,43.9274216666667,206.543086666667,549.0,0.62,508.0,230.0,71.5,16.3,93.1,249.0,22.1,26.8,3.315,0.439,3.494,2.61,82.5,17.34,67.79,2.992,549.0,6.81,0.445,1.224,0.383,0.282,2.257,26.2,8.775,4.124,13.224,2.102,19.348,9.635,8.812,6.484,1812.0,37,424.0,666.0,-8888,97,179,48,35,-8888,14,-8888.0,7.0,4.0,124,16,-8888,-8888,-8888,2.0
71,1487546880.0,1487546931.0,84506.5,838.452692307692,267.489038461538,159.846153846154,-3.29538461538462,-9.05384615384615,0.0552115384615385,43.7220433333333,206.672628333333,569.0,-8888.0,517.0,233.0,71.6,16.81,98.3,261.0,22.8,27.8,3.426,0.476,3.628,2.79,82.9,18.09,70.2,3.155,548.0,6.61,0.539,1.142,0.392,0.254,1.775,21.3,8.023,3.517,8.545,1.328,10.422,4.952,6.527,3.99,2216.0,62,471.0,818.0,-8888,131,242,71,50,-8888,19,3.0,12.0,8.0,131,19,3,4,3,2.0
72,1487547030.0,1487547072.0,84652.0,985.121395348837,276.458139534884,155.195348837209,-2.11604651162791,-10.0979069767442,-0.0592558139534884,43.523892,206.796962,558.0,-8888.0,518.0,233.0,71.9,16.77,97.1,254.0,23.1,27.3,3.426,0.453,3.626,2.64,83.0,18.24,65.66,3.224,532.0,6.42,0.589,1.151,0.385,0.289,2.273,20.22,7.958,3.16,8.246,1.228,9.766,4.024,4.382,3.231,2215.0,62,468.0,842.0,-8888,133,243,72,53,-8888,17,-8888.0,10.0,6.0,148,23,3,-8888,-8888,2.0
