,UTC_Start,UTC_Stop_WAS,UTC_Mean_1s,MSL_GPS_Altitude,P,T,TAS,U,V,W,lat,lon,OCS_WAS,DMS_WAS,CFC12_WAS,CFC11_WAS,CFC113_WAS,CFC114_WAS,HFC134a_WAS,HCFC22_WAS,HCFC142b_WAS,HCFC141b_WAS,H1301_WAS,H2402_WAS,H1211_WAS,CH3CCl3_WAS,CCl4_WAS,CHCl3_WAS,CH2Cl2_WAS,C2Cl4_WAS,CH3Cl_WAS,CH3Br_WAS,CH3I_WAS,CH2Br2_WAS,CHBrCl2_WAS,CHBr2Cl_WAS,CHBr3_WAS,CH2ClCH2Cl_WAS,MeONO2_WAS,EthONO2_WAS,iPropONO2_WAS,nPropONO2_WAS,x2ButONO2_WAS,x3PentONO2_WAS,x2PentONO2_WAS,x3Me2ButONO2_WAS,Ethane_WAS,Ethene_WAS,Ethyne_WAS,Propane_WAS,Propene_WAS,iButane_WAS,nButane_WAS,iPentane_WAS,nPentane_WAS,Isoprene_WAS,nHexane_WAS,nHeptane_WAS,x2MePentane_WAS,x3MePentane_WAS,Benzene_WAS,Toluene_WAS,EthBenzene_WAS,mpXylene_WAS,oXylene_WAS,O3_CL,O3_CL_2sigma,O3_GMI,OH_GMI,HCFC22_GMI,CFC11_GMI,mission
47,1471887180.0,1471887242.0,1471887211.0,9695.09523809524,302.574126984127,243.322222222222,244.138412698413,-5.18952380952381,-8.42571428571429,-0.069015873015873,15.5302242857143,239.482995714286,544.0,-8888.0,512.0,229.0,71.1,16.08,91.4,239.0,21.8,24.8,3.441,0.412,3.539,2.55,81.3,9.47,28.98,0.639,572.0,7.26,0.03,0.688,0.195,0.085,,4.14,4.876,1.034,1.628,0.097,0.294,,,0.032,541.0,-8888,42.0,92.0,-8888,3,7,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,-8888,-8888,-8888,-8888,-8888,68.3249365079365,2.0835873015873,62.9686714285714,0.0006036264285714,0.279170571428571,0.223028,1.0
48,1471887360.0,1471887432.0,1471887396.0,10506.3835616438,269.87301369863,237.136849315069,245.397534246575,-4.63986301369863,-6.77054794520548,-0.0704931506849315,15.1085,239.48283875,536.0,-8888.0,508.0,227.0,71.7,15.95,90.4,233.0,21.3,24.9,3.333,0.418,3.509,2.77,82.8,9.59,29.04,0.586,571.0,7.06,0.022,0.723,0.21,0.067,,3.47,5.315,0.748,0.884,0.022,0.22,0.039,0.06,0.013,601.0,-8888,45.0,115.0,-8888,-8888,6,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,-8888,-8888,-8888,-8888,-8888,71.2555890410959,2.17267123287671,60.37775,0.000646496625,0.279241,0.22304875,1.0
49,1471887600.0,1471887678.0,1471887639.0,10695.9873417722,262.578860759494,235.326329113924,238.715316455696,-4.33696202531646,-3.67430379746835,0.138341772151899,14.573875,239.48266625,541.0,-8888.0,511.0,229.0,71.9,16.05,91.8,235.0,22.0,25.1,3.32,0.42,3.534,2.65,82.5,9.52,29.02,0.614,561.0,7.28,0.022,0.752,0.187,0.068,,3.44,4.914,0.787,1.009,0.045,0.216,,,0.012,562.0,-8888,48.0,125.0,-8888,-8888,6,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,-8888,-8888,-8888,-8888,-8888,73.7933417721519,2.24912658227848,57.3408875,0.000642464875,0.279287625,0.223067125,1.0
50,1471887900.0,1471887977.0,1471887938.5,10696.0,262.515769230769,235.311794871795,240.738717948718,-4.78461538461538,-1.85692307692308,0.0122820512820513,13.91978125,239.48289,532.0,-8888.0,510.0,227.0,71.5,16.01,89.3,236.0,21.3,24.5,3.361,0.412,3.58,2.64,82.3,9.66,27.34,0.715,557.0,6.92,0.039,0.879,0.238,0.125,,4.58,5.613,1.39,2.524,0.147,0.365,0.072,,0.059,474.0,-8888,45.0,98.0,-8888,3,7,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,3,-8888,-8888,-8888,-8888,53.9940128205128,1.65505128205128,53.327525,0.000612250875,0.27935,0.223091625,1.0
51,1471888140.0,1471888211.0,1471888175.5,10452.7916666667,272.443055555556,237.59,241.626944444444,-6.43361111111111,-2.70430555555556,0.237055555555556,13.39334125,239.48314375,521.0,-8888.0,507.0,226.0,71.6,15.77,87.2,228.0,20.5,24.7,3.302,0.42,3.47,2.75,83.1,9.83,29.16,0.86,570.0,7.05,0.056,0.935,0.266,0.116,0.362,4.91,6.317,1.581,2.446,0.182,0.57,0.096,0.583,0.021,459.0,-8888,42.0,84.0,-8888,3,7,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,3,-8888,-8888,-8888,-8888,48.8850606060606,1.50156060606061,49.56145,0.00057506375,0.27942225,0.22311425,1.0
52,1471888330.0,1471888386.0,1471888358.0,8501.84210526316,356.761754385965,252.434035087719,216.481754385965,-9.45491228070176,-6.37649122807018,0.378877192982456,13.0134533333333,239.483095,536.0,-8888.0,509.0,228.0,72.0,16.01,90.5,234.0,22.1,24.8,3.302,0.418,3.488,2.7,83.2,9.82,27.56,0.715,551.0,6.94,0.048,0.842,0.238,0.129,0.56,4.73,4.905,1.247,2.461,0.139,0.621,0.077,0.058,0.026,530.0,-8888,42.0,82.0,-8888,-8888,4,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,3,-8888,-8888,-8888,-8888,67.2704912280702,2.05021052631579,41.5111833333333,0.0004580496666666,0.279518333333333,0.223161833333333,1.0
53,1471888590.0,1471888657.0,1471888623.5,5631.10294117647,517.705,269.906176470588,198.226470588235,-5.94897058823529,-2.70867647058824,0.0842205882352941,12.5107057142857,239.483232857143,541.0,0.44,514.0,230.0,72.5,16.09,90.3,235.0,21.6,25.0,3.393,0.419,3.562,2.72,83.4,9.66,28.33,0.637,573.0,7.05,0.263,1.031,0.256,0.151,1.085,5.32,5.513,1.545,2.31,0.344,1.736,0.411,0.445,0.166,415.0,6,31.0,41.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,49.1207352941176,1.50163235294118,38.3582285714286,0.0005119767142857,0.279378285714286,0.223159571428571,1.0
54,1471888740.0,1471888793.0,1471888766.5,4145.55555555556,622.023518518519,277.92037037037,187.547407407407,-8.27351851851852,-3.29962962962963,0.100944444444444,12.2542616666667,239.48306,532.0,0.15,513.0,231.0,72.8,16.14,88.3,229.0,21.3,24.8,3.421,0.419,3.512,2.72,84.0,9.77,26.75,0.539,538.0,6.65,0.266,0.934,0.245,0.158,0.958,4.95,5.889,1.25,1.65,0.181,1.02,0.249,0.107,0.055,420.0,6,27.0,36.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,35.0805185185185,1.07837037037037,21.6387333333333,0.0003406646666666,0.2798465,0.223207333333333,1.0
55,1471888890.0,1471888954.0,1471888922.0,3038.4,711.142923076923,283.846,165.298307692308,-5.76138461538462,-3.95323076923077,0.3226,12.0061814285714,239.485195714286,536.0,0.72,512.0,229.0,72.1,15.98,91.9,234.0,21.5,25.2,3.374,0.409,3.681,2.69,83.1,9.45,24.08,0.664,539.0,6.99,0.39,0.969,0.244,0.153,1.179,4.67,6.932,1.332,1.861,0.188,1.046,0.244,0.12,0.082,384.0,8,34.0,30.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,5,3,-8888,-8888,-8888,27.2311230769231,0.841338461538462,21.5466571428571,0.0003447527142857,0.279824142857143,0.223215714285714,1.0
56,1471889040.0,1471889097.0,1471889068.5,1885.05172413793,815.048103448276,289.283793103448,160.989137931034,-4.54172413793103,-4.8751724137931,0.239362068965517,11.7928166666667,239.482795,542.0,3.96,515.0,229.0,72.0,16.03,87.0,233.0,21.3,24.4,3.343,0.421,3.539,2.68,82.5,9.3,25.55,0.574,558.0,6.9,0.456,1.02,0.249,0.16,1.011,4.26,7.852,1.401,1.594,0.194,0.899,0.248,0.183,0.079,335.0,8,18.0,28.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,20.5098545454545,0.637909090909091,18.8637333333333,0.0002679683333333,0.279472166666667,0.223216666666667,1.0
